timestamp,day_of_week,hour,origin,destination,duration_min,distance_km,departure,arrival
2026-08-10 21:09:46,Monday,21,KMUTT Bangkok,Opposite Bangpakok Market,34.6,3.62,4:55 AM,5:29 AM
2026-08-10 21:09:46,Monday,21,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:13 AM,6:55 AM
2026-08-10 22:05:13,Monday,22,KMUTT Bangkok,ใต้ทางด่วน กม.9,36.5,3.08,5:05 AM,5:41 AM
2026-08-10 22:05:13,Monday,22,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.4,3.2,5:05 AM,5:43 AM
2026-08-10 22:05:13,Monday,22,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,5:05 AM,6:04 AM
2026-08-10 22:05:13,Monday,22,ใต้ทางด่วน กม.9,Siam Paragon,86.1,19.01,5:05 AM,6:31 AM
2026-08-10 22:05:14,Monday,22,KMUTT Bangkok,The Mall Life Store BangKae,118.8,17.47,5:05 AM,7:04 AM
2026-08-10 22:05:14,Monday,22,KMUTT Bangkok,Opposite Bangpakok Market,34.6,3.62,5:05 AM,5:39 AM
2026-08-10 22:05:14,Monday,22,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:13 AM,6:55 AM
2026-08-10 23:04:31,Monday,23,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,6:04 AM,6:39 AM
2026-08-10 23:04:31,Monday,23,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.4,3.2,6:04 AM,6:42 AM
2026-08-10 23:04:32,Monday,23,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,6:04 AM,7:03 AM
2026-08-10 23:04:32,Monday,23,ใต้ทางด่วน กม.9,Siam Paragon,67.4,20.38,6:04 AM,7:11 AM
2026-08-10 23:04:32,Monday,23,KMUTT Bangkok,The Mall Life Store BangKae,93.4,19.51,6:15 AM,7:48 AM
2026-08-10 23:04:32,Monday,23,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,6:04 AM,6:35 AM
2026-08-10 23:04:32,Monday,23,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,6:04 AM,7:46 AM
2026-08-11 06:51:23,Tuesday,6,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,1:51 PM,2:26 PM
2026-08-11 06:51:23,Tuesday,6,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.4,3.2,1:51 PM,2:29 PM
2026-08-11 06:51:24,Tuesday,6,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,1:51 PM,2:50 PM
2026-08-11 06:51:24,Tuesday,6,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,1:51 PM,2:40 PM
2026-08-11 06:51:24,Tuesday,6,KMUTT Bangkok,The Mall Life Store BangKae,93.4,19.51,1:55 PM,3:28 PM
2026-08-11 06:51:24,Tuesday,6,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,1:51 PM,2:22 PM
2026-08-11 06:51:25,Tuesday,6,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,1:51 PM,3:33 PM
2026-08-11 08:04:23,Tuesday,8,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,3:04 PM,3:39 PM
2026-08-11 08:04:23,Tuesday,8,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.4,3.2,3:04 PM,3:42 PM
2026-08-11 08:04:23,Tuesday,8,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,3:04 PM,4:03 PM
2026-08-11 08:04:23,Tuesday,8,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,3:04 PM,3:53 PM
2026-08-11 08:04:24,Tuesday,8,KMUTT Bangkok,The Mall Life Store BangKae,93.4,19.51,3:15 PM,4:48 PM
2026-08-11 08:04:24,Tuesday,8,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,3:04 PM,3:35 PM
